id	title	description	category	type	options	defaultValue	optionsChartRef	optionsChartColumnHeader	min	max	inventoryWidth	inventoryHeight	image	customProperties	assetFilename
02a26f82-0608-45d7-83c0-582868a1d113	Passive Investigation		Skills	number		0									
04d210aa-0e4a-49a1-9a1e-dd103441b1a1	Necrotic Immunity		Combat	boolean		false									
09834bcb-bd17-44a1-9728-6ee930d096e5	Medicine Proficiency		Skills	boolean		false									
0a281dae-0a9b-45ba-9278-d63a6510fdac	Relentless Rage	Your Rage can keep you fighting despite grievous wounds. If you drop to 0 Hit Points while your Rage is active and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, your Hit Points instead change to a number equal to twice your Barbarian level.\n\nEach time you use this feature after the first, the DC increases by 5. When you finish a Short or Long Rest, the DC resets to 10.	Barbarian Feats	boolean		false									
0ade234c-14b8-449e-8c07-33bb84490e93	Sorcery Points		Sorcerer Feats	number		0									
0b0da49a-744e-40cd-9a15-b7a3e0079c72	Force Vulnerability		Combat	boolean		false									
0c00e483-9c4a-4a38-a464-d48a562b14a3	Exhaustion	### Exhaustion\n\nSome special abilities and environmental hazards, such as starvation and the long-term effects of freezing or scorching temperatures, can lead to a special condition called exhaustion. Exhaustion is measured in six levels. An effect can give a creature one or more levels of exhaustion, as specified in the effect's description.\n\n1.    Disadvantage on ability checks\n\n2.    Speed halved\n\n3.    Disadvantage on attack rolls and saving throws\n\n4.    Hit point maximum halved\n\n5.    Speed reduced to 0\n\n6.    Death	Conditions	number		0									
11d2ffb7-9181-489d-b20a-7df56b122267	Persistent Rage	When you roll Initiative, you can regain all expended uses of Rage. After you regain uses of Rage in this way, you can't do so again until you finish a Long Rest.\n\nIn addition, your Rage is so fierce that is now lasts for 10 minutes without you needing to do anything to extend it from round to round. Your Rage ends early if you have the Unconscious condition (not just the Incapacitated condition) or don Heavy armor. 	Barbarian Feats	boolean		false									
138d121c-0817-43dc-8c5a-8907bca44b48	Thunder Resistance		Combat	boolean		false									
13b4d04c-6643-4fc3-9592-a81f2601d184	Acid Immunity		Combat	boolean		false									
145ad6dc-656d-4fd6-824e-b5fb1268e774	Level 2 Spell Slots		Spell Casting	number		0				6					
1738be7f-da5d-4df9-8d05-e55eda167baa	Petrified	### Petrified\n\n- A petrified creature is transformed, along with any nonmagical object it is wearing or carrying, into a solid inanimate substance (usually stone). Its weight increases by a factor of ten, and it ceases aging.\n- The creature is incapacitated (see the condition), can't move or speak, and is unaware of its surroundings.\n- Attack rolls against the creature have advantage.\n- The creature automatically fails Strength and Dexterity saving throws.\n- The creature has resistance to all damage.\n- The creature is immune to poison and disease, although a poison or disease already in its system is suspended, not neutralized.	Conditions	boolean		false									
1a2d4003-f6ba-4dfd-bc77-ec47db69f14e	Strength Modifier	How a character's strength influences their skills.	Abilities	number		0			-10	10					
