Cantrips (0 Level)	1st Level	2nd Level	3rd Level	4th Level	5th Level	6th Level	7th Level	8th Level	9th Level
Dancing Lights	Animal Friendship	Animal Messenger	Bestow Curse	Compulsion	Animate Objects	Eyebite	Arcane Sword	Dominate Monster	Foresight
Light	Bane	Blindness/Deafness	Clairvoyance	Confusion	Awaken	Find the Path	Etherealness	Feeblemind	Power Word Kill
Mage Hand	Charm Person	Calm Emotions	Dispel Magic	Dimension Door	Dominate Person	Guards and Wards	Forcecage	Glibness	True Polymorph
Mending	Comprehend Languages	Detect Thoughts	Fear	Freedom of Movement	Dream	Irresistible Dance	Magnificent Mansion	Mind Blank	
Message	Cure Wounds	Enhance Ability	Glyph of Warding	Greater Invisibility	Geas	Mass Suggestion	Mirage Arcane	Power Word Stun	
Minor Illusion	Detect Magic	Enthrall	Hypnotic Pattern	Hallucinatory Terrain	Greater Restoration	Programmed Illusion	Project Image		
Prestidigitation	Disguise Self	Heat Metal	Major Image	Locate Creature	Hold Monster	True Seeing	Regenerate		
True Strike	Faerie Fire	Hold Person	Nondetection	Polymorph	Legend Lore		Resurrection		
Vicious Mockery	Feather Fall	Invisibility	Plant Growth		Mass Cure Wounds		Symbol		
	Healing Word	Knock	Sending		Mislead		Teleport		
	Heroism	Lesser Restoration	Speak with Dead		Modify Memory				
	Hideous Laughter	Locate Animals or Plants	Speak with Plants		Planar Binding				
	Identify	Locate Object	Stinking Cloud		Raise Dead				
	Illusory Script	Magic Mouth	Tiny Hut		Scrying				
	Longstrider	See Invisibility	Tongues		Seeming				
	Silent Image	Shatter			Teleportation Circle				
	Sleep	Silence							
	Speak with Animals	Suggestion							
	Thunderwave	Zone of Truth							
	Unseen Servant								
