Cantrips (0 Level)	1st Level	2nd Level	3rd Level	4th Level	5th Level	6th Level	7th Level	8th Level	9th Level
Guidance	Bane	Aid	Animate Dead	Banishment	Commune	Blade Barrier	Conjure Celestial	Antimagic Field	Astral Projection
Light	Bless	Augury	Beacon of Hope	Control Water	Contagion	Create Undead	Divine Word	Control Weather	Gate
Mending	Command	Blindness/Deafness	Bestow Curse	Death Ward	Dispel Evil and Good	Find the Path	Etherealness	Earthquake	Mass Heal
Resistance	Create or Destroy Water	Calm Emotions	Clairvoyance	Divination	Flame Strike	Forbiddance	Fire Storm	Holy Aura	True Resurrection
Sacred Flame	Cure Wounds	Continual Flame	Create Food and Water	Freedom of Movement	Geas	Harm	Plane Shift		
Spare the Dying	Detect Evil and Good	Enhance Ability	Daylight	Guardian of Faith	Greater Restoration	Heal	Regenerate		
Thaumaturgy	Detect Magic	Find Traps	Dispel Magic	Locate Creature	Hallow	Heroes Feast	Resurrection		
	Detect Poison and Disease	Gentle Repose	Glyph of Warding	Stone Shape	Insect Plague	Planar Ally	Symbol		
	Guiding Bolt	Hold Person	Magic Circle		Legend Lore	True Seeing			
	Healing Word	Lesser Restoration	Mass Healing Word		Mass Cure Wounds	Word of Recall			
	Inflict Wounds	Locate Object	Meld into Stone		Planar Binding				
	Protection from Evil and Good	Prayer of Healing	Protection from Energy		Raise Dead				
	Purify Food and Drink	Protection from Poison	Remove Curse		Scrying				
	Sanctuary	Silence	Revivify						
	Shield of Faith	Spiritual Weapon	Sending						
		Warding Bond	Speak with Dead						
		Zone of Truth	Spirit Guardians						
			Tongues						
			Water Walk						
