Cantrips (0 Level)	1st Level	2nd Level	3rd Level	4th Level	5th Level	6th Level	7th Level	8th Level	9th Level
Druidcraft	Animal Friendship	Animal Messenger	Call Lightning	Blight	Antilife Shell	Conjure Fey	Fire Storm	Animal Shapes	Foresight
Guidance	Charm Person	Barkskin	Conjure Animals	Confusion	Awaken	Find the Path	Mirage Arcane	Antipathy/Sympathy	Shapechange
Mending	Create or Destroy Water	Darkvision	Daylight	Conjure Minor Elementals	Commune with Nature	Heal	Plane Shift	Control Weather	Storm of Vengeance
Poison Spray	Cure Wounds	Enhance Ability	Dispel Magic	Conjure Woodland Beings	Conjure Elemental	Heroes Feast	Regenerate	Earthquake	True Resurrection
Produce Flame	Detect Magic	Find Traps	Meld into Stone	Control Water	Contagion	Move Earth	Reverse Gravity	Feeblemind	
Resistance	Detect Poison and Disease	Flame Blade	Plant Growth	Dominate Beast	Geas	Sunbeam		Sunburst	
Shillelagh	Entangle	Flaming Sphere	Protection from Energy	Freedom of Movement	Greater Restoration	Transport via Plants			
	Faerie Fire	Gust of Wind	Sleet Storm	Giant Insect	Insect Plague	Wall of Thorns			
	Fog Cloud	Heat Metal	Speak with Plants	Hallucinatory Terrain	Mass Cure Wounds	Wind Walk			
	Goodberry	Hold Person	Water Breathing	Ice Storm	Planar Binding				
	Healing Word	Lesser Restoration	Water Walk	Locate Creature	Reincarnate				
	Jump	Locate Animals or Plants	Wind Wall	Polymorph	Scrying				
	Longstrider	Locate Object		Stone Shape	Tree Stride				
	Purify Food and Drink	Moonbeam		Stoneskin	Wall of Stone				
	Speak with Animals	Pass without Trace		Wall of Fire					
	Thunderwave	Protection from Poison							
		Spike Growth							
