Level	Proficiency Bonus	Features	Cantrips Known	Spell Slot Level 1st	Spell Slot Level 2nd	Spell Slot Level 3rd	Spell Slot Level 4th	Spell Slot Level 5th	Spell Slot Level 6th	Spell Slot Level 7th	Spell Slot Level 8th	Spell Slot Level 9th
1	2	Druidic, Spellcasting	2	2								
2	2	Wild Shape, Druid Circle	2	3								
3	2		2	4	2							
4	2	Wild Shape improvement, Ability Score Improvement	3	4	3							
5	3		3	4	3	2						
6	3	Druid Circle feature	3	4	3	3						
7	3		3	4	3	3	1					
8	3	Wild Shape improvement, Ability Score Improvement	3	4	3	3	2					
9	4		3	4	3	3	3	1				
10	4	Druid Circle feature	4	4	3	3	3	2				
11	4		4	4	3	3	3	2	1			
12	4	Ability Score Improvement	4	4	3	3	3	2	1			
13	5		4	4	3	3	3	2	1	1		
14	5	Druid Circle feature	4	4	3	3	3	2	1	1		
15	5		4	4	3	3	3	2	1	1	1	
16	5	Ability Score Improvement	4	4	3	3	3	2	1	1	1	
17	6		4	4	3	3	3	2	1	1	1	1
18	6	Timeless Body, Beast Spells	4	4	3	3	3	3	1	1	1	1
19	6	Ability Score Improvement	4	4	3	3	3	3	2	1	1	1
20	6	Archdruid	4	4	3	3	3	3	2	2	1	1
