Level	Proficiency Bonus	Martial Arts	Ki Points	Unarmored Movement	Features
1	2	1d4			Unarmored Defense, Martial Arts
2	2	1d4	2	10 ft.	Ki, Unarmored Movement
3	2	1d4	3	10 ft.	Monastic Tradition, Deflect Missiles
4	2	1d4	4	10 ft.	Ability Score Improvement, Slow Fall
5	3	1d6	5	10 ft.	Extra Attack, Stunning Strike
6	3	1d6	6	15 ft.	Ki-Empowered Strikes, Monastic Tradition feature
7	3	1d6	7	15 ft.	Evasion, Stillness of Mind
8	3	1d6	8	15 ft.	Ability Score Improvement
9	4	1d6	9	15 ft.	Unarmored Movement improvement
10	4	1d6	10	20 ft.	Purity of Body
11	4	1d8	11	20 ft.	Monastic Tradition feature
12	4	1d8	12	20 ft.	Ability Score Improvement
13	5	1d8	13	20 ft.	Tongue of the Sun and Moon
14	5	1d8	14	25 ft.	Diamond Soul
15	5	1d8	15	25 ft.	Timeless Body
16	5	1d8	16	25 ft.	Ability Score Improvement
17	6	1d10	17	25 ft.	Monastic Tradition feature
18	6	1d10	18	30 ft.	Empty Body
19	6	1d10	19	30 ft.	Ability Score Improvement
20	6	1d10	20	30 ft.	Perfect Self
