Name	Size	Type	Subtype	Alignment	Armor Class	Initiative	Hit Points	Hit Dice	Speed	Fly	Strength	Strength Saving Throw	Dexterity	Dexterity Saving Throw	Constitution	Constitution Saving Throw	Intelligence	Intelligence Saving Throw	Wisdom	Wisdom Saving Throw	Charisma	Charisma Saving Throw	Resistances	Immunities	Passive Perception	Darkvision	Languages	Challenge Rating	Description	Image
Aboleth	Large	Aberration		Lawful Evil	17	7	150	20d10 + 40	10	0	21	5	9	3	15	6	18	8	15	6	18	4			20	120	Deep Speech	10	# Traits\n**Amphibious**\nThe aboleth can breathe air and water.\n\n**Eldritch Restoration**\nIf destroyed, the aboleth gains\na new body in 5d10 days, reviving with all its Hit\nPoints in the Far Realm or another location chosen\n\n**by the GM**\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe aboleth fails a saving throw, it can choose to suc-\n\n**Mucus Cloud**\nWhile underwater, the aboleth is sur-\n\n**rounded by mucus**\nConstitution Saving Throw: DC 14,\neach creature in a 5-foot Emanation originating from\n\n**the aboleth at the end of the aboleth’s turn**\nFailure: The\n\n**target is cursed**\nUntil the curse ends, the target’s skin\nbecomes slimy, the target can breathe air and water,\n\n**and it can’t regain Hit Points unless it is underwater**\nWhile the cursed creature is outside a body of water,\nthe creature takes 6 (1d12) Acid damage at the end of\nevery 10 minutes unless moisture is applied to its skin\n\n**Probing Telepathy**\nIf a creature the aboleth can see\ncommunicates telepathically with the aboleth, the abo-\n\n# Actions\n**Multiattack**\nThe aboleth makes two Tentacle attacks\nand uses either Consume Memories or Dominate Mind\n\n**Tentacle**\nMelee Attack Roll: +9, reach 15 ft. Hit: 12\n(2d6 + 5) Bludgeoning damage. If the target is a Large\nor smaller creature, it has the Grappled condition (es-\ncape DC 14) from one of four tentacles.\n\n**Consume Memories**\nIntelligence Saving Throw: DC 16,\none creature within 30 feet that is Charmed or Grap-\n\n**pled by the aboleth**\nFailure: 10 (3d6) Psychic damage.\n\n# Legendary Actions	
Adult Black Dragon	Huge	Dragon	Chromatic	Chaotic Evil	19	12	195	17d12 + 85	40	80	27	8	14	9	25	7	16	3	15	9	22	6		Acid	21	120	Common, Draconic	14	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\nAcid Arrow (level 3 version).\n\n**Rend**\nMelee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6\n+ 6) Slashing damage plus 4 (1d8) Acid damage.\nAcid Breath (Recharge 5–6). Dexterity Saving Throw:\nDC 18, each creature in a 60-foot-long, 5-foot-\n\n**wide Line**\nFailure: 54 (12d8) Acid damage. Success:\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 17,\n+9 to hit with spell attacks):\nAt Will: Acid Arrow (level 3 version), Detect Magic , Fear\n1/Day Each: Speak with Dead , Vitriolic Sphere\n\n# Legendary Actions\n# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\nAcid Arrow (level 4 version).\n\n**Rend**\nMelee Attack Roll: +15, reach 15 ft. Hit: 17 (2d8\n+ 8) Slashing damage plus 9 (2d8) Acid damage.\nAcid Breath (Recharge 5–6). Dexterity Saving Throw:\nDC 22, each creature in a 90-foot-long, 10-foot-\n\n**wide Line**\nFailure: 67 (15d8) Acid damage. Success:\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 21,\n+13 to hit with spell attacks):\nAt Will: Acid Arrow (level 4 version), Detect\nMagic , Fear\n1/Day Each: Create Undead , Speak with Dead , Vitriolic\nSphere (level 5 version)\n\n# Legendary Actions	
Adult Blue Dragon	Huge	Dragon	Chromatic	Lawful Evil	19	10	212	17d12 + 102	40	80	25	7	10	5	23	6	16	3	15	7	20	5		Lightning	22	120	Common, Draconic	16	# Traits\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to\n\n**Rend**\nMelee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8\n+ 7) Slashing damage plus 5 (1d10) Lightning damage.\nLightning Breath (Recharge 5–6). Dexterity Saving\nThrow: DC 19, each creature in a 90-foot-long, 5-foot- wide Line. Failure: 60 (11d10) Lightning damage. Suc-\ncess: Half damage.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 18):\nAt Will: Detect Magic , Invisibility , Mage Hand , Shatter\n1/Day Each: Scrying , Sending\n\n# Legendary Actions	
Adult Brass Dragon	Huge	Dragon	Matallic	Chaotic Good	18	10	172	15d12 + 75	40	80	23	6	10	5	21	5	14	2	13	6	17	3		Fire	21	120	Common, Draconic	13	# Traits\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of (A) Sleep Breath or\n(B) Spellcasting to cast Scorching Ray .\n\n**Rend**\nMelee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10\n+ 6) Slashing damage plus 4 (1d8) Fire damage.\nFire Breath (Recharge 5–6) . Dexterity Saving Throw:\nDC 18, each creature in a 60-foot-long, 5-foot-\n\n**wide Line**\nFailure: 45 (10d8) Fire damage. Success:\n\n**Sleep Breath**\nConstitution Saving Throw: DC 18, each\n\n**creature in a 60-foot Cone**\nFailure: The target has the\nIncapacitated condition until the end of its next turn, at\n\n**which point it repeats the save**\nSecond Failure: The tar-\n\n**get has the Unconscious condition for 10 minutes**\nThis\neffect ends for the target if it takes damage or a creature\n\n**within 5 feet of it takes an action to wake it**\nSpellcasting. The dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 16):\nAt Will: Detect Magic , Minor Illusion , Scorching Ray ,\nShapechange (Beast or Humanoid form only, no\nTemporary Hit Points gained from the spell, and no\nConcentration or Temporary Hit Points required to\nmaintain the spell), Speak with Animals\n1/Day Each: Detect Thoughts , Control Weather\n\n# Legendary Actions	
Adult Bronze Dragon	Huge	Dragon	Matallic	Lawful Good	18	10	212	17d12 + 102	40	80	25	7	10	5	23	6	16	3	15	7	20	5		Lightning	22	120	Common, Draconic	15	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks.\nIt can replace one attack with a use of (A) Repulsion\nBreath or (B) Spellcasting to cast Guiding Bolt (level\n2 version).\n\n**Rend**\nMelee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8\n+ 7) Slashing damage plus 5 (1d10) Lightning damage.\nLightning Breath (Recharge 5–6) . Dexterity Saving\nThrow: DC 19, each creature in a 90-foot-long, 5-foot-\n\n**wide Line**\nFailure: 55 (10d10) Lightning damage. Suc-\ncess: Half damage.\n\n**Repulsion Breath**\nStrength Saving Throw: DC 19, each\n\n**creature in a 30-foot Cone**\nFailure: The target is pushed\nup to 60 feet straight away from the dragon and has the\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 17,\n+10 to hit with spell attacks):\nAt Will: Detect Magic , Guiding Bolt (level 2 version),\nShapechange (Beast or Humanoid form only, no\nTemporary Hit Points gained from the spell, and no\nConcentration or Temporary Hit Points required to\nmaintain the spell), Speak with Animals , Thaumaturgy\n1/Day Each: Detect Thoughts , Water Breathing\n\n# Legendary Actions	
Adult Copper Dragon	Huge	Dragon	Matallic	Chaotic Good	18	11	184	16d12 + 80	40	80	23	6	12	6	21	5	18	4	15	7	18	4		Acid	22	120	Common, Draconic	14	# Traits\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of (A) Slowing Breath\nor (B) Spellcasting to cast Mind Spike (level 4 version).\n\n**Rend**\nMelee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10\n+ 6) Slashing damage plus 4 (1d8) Acid damage.\nAcid Breath (Recharge 5–6) . Dexterity Saving Throw:\nDC 18, each creature in an 60-foot-long, 5-foot-\n\n**wide Line**\nFailure: 54 (12d8) Acid damage. Success:\n\n**Slowing Breath**\nConstitution Saving Throw: DC 18,\n\n**each creature in a 60-foot Cone**\nFailure: The target\ncan’t take Reactions; its Speed is halved; and it can take\neither an action or a Bonus Action on its turn, not both.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 17):\nAt Will: Detect Magic , Mind Spike (level 4 version),\nMinor Illusion , Shapechange (Beast or Humanoid\nform only, no Temporary Hit Points gained from the\nspell, and no Concentration or Temporary Hit Points\nrequired to maintain the spell)\n1/Day Each: Greater Restoration , Major Image\n\n# Legendary Actions	
Adult Gold Dragon	Huge	Dragon	Matallic	Lawful Good	19	14	243	18d12 + 126	40	80	27	8	14	8	25	7	16	3	15	8	24	7		Fire	24	120	Common, Draconic	17	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of (A) Spellcasting\nto cast Guiding Bolt (level 2 version) or (B) Weaken-\n\n**Rend**\nMelee Attack Roll: +14, reach 10 ft. Hit: 17 (2d8\n+ 8) Slashing damage plus 4 (1d8) Fire damage.\nFire Breath (Recharge 5–6) . Dexterity Saving Throw:\nDC 21, each creature in a 60-foot Cone. Failure: 66\n(12d10) Fire damage. Success: Half damage.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 21,\n+13 to hit with spell attacks):\nAt Will: Detect Magic , Guiding Bolt (level 2 version),\nShapechange (Beast or Humanoid form only, no\nTemporary Hit Points gained from the spell, and no\nConcentration or Temporary Hit Points required to\nmaintain the spell)\n1/Day Each: Flame Strike , Zone of Truth\n\n**Weakening Breath**\nStrength Saving Throw: DC 21,\neach creature that isn’t currently affected by this breath\n\n**in a 60-foot Cone**\nFailure: The target has Disadvantage\non Strength-based D20 Tests and subtracts 3 (1d6) from\n\n**its damage rolls**\nIt repeats the save at the end of each\nof its turns, ending the effect on itself on a success. Af-\nter 1 minute, it succeeds automatically. Legendary Actions	
Adult Green Dragon	Huge	Dragon	Chromatic	Lawful Evil	19	11	207	18d12 + 90	40	80	23	6	12	6	21	5	18	4	15	7	18	4		Poison, Poisoned	33	120	Common, Draconic	15	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\nMind Spike (level 3 version).\n\n**Rend**\nMelee Attack Roll: +11, reach 10 ft. Hit: 15 (2d8\n+ 6) Slashing damage plus 7 (2d6) Poison damage.\nPoison Breath (Recharge 5–6). Constitution Saving\nThrow: DC 18, each creature in a 60-foot Cone. Fail-\nure: 56 (16d6) Poison damage. Success: Half damage.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 17):\nAt Will: Detect Magic , Mind Spike (level 3 version)\n1/Day: Geas\n\n# Legendary Actions	
Adult Red Dragon	Huge	Dragon	Chromatic	Chaotic Evil	19	12	256	19d12 + 133	40	80	27	8	10	6	25	7	16	3	13	7	23	6		Fire	23	120	Common, Draconic	17	# Traits\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\n\n**Rend**\nMelee Attack Roll: +14, reach 10 ft. Hit: 13 (1d10\n+ 8) Slashing damage plus 5 (2d4) Fire damage. Fire Breath (Recharge 5–6). Dexterity Saving Throw:\nDC 21, each creature in a 60-foot Cone. Failure: 59\n(17d6) Fire damage. Success: Half damage.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 20,\n+12 to hit with spell attacks):\nAt Will: Command (level 2 version), Detect Magic ,\nScorching Ray\n1/Day: Fireball\n\n# Legendary Actions	
Adult Silver Dragon	Huge	Dragon	Matallic	Lawful Good	19	10	216	16d12 + 112	40	80	27	8	10	5	25	7	16	3	13	6	22	6		Cold	21	120	Common, Draconic	16	# Traits\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks.\nIt can replace one attack with a use of (A) Paralyzing\nBreath or (B) Spellcasting to cast Ice Knife .\n\n**Rend**\nMelee Attack Roll: +13, reach 10 ft. Hit: 17 (2d8\n+ 8) Slashing damage plus 4 (1d8) Cold damage.\nCold Breath (Recharge 5–6) . Constitution Saving\nThrow: DC 20, each creature in a 60-foot Cone. Fail-\nure: 54 (12d8) Cold damage. Success: Half damage.\n\n**Paralyzing Breath**\nConstitution Saving Throw: DC 20,\n\n**each creature in a 60-foot Cone**\nFirst Failure: The target\nhas the Incapacitated condition until the end of its next\nturn, when it repeats the save. Second Failure: The tar-\nget has the Paralyzed condition, and it repeats the save\nat the end of each of its turns, ending the effect on itself\n\n**on a success**\nAfter 1 minute, it succeeds automatically.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 19,\n+11 to hit with spell attacks): At Will: Detect Magic , Hold Monster , Ice Knife ,\nShapechange (Beast or Humanoid form only, no\nTemporary Hit Points gained from the spell, and no\nConcentration or Temporary Hit Points required to\nmaintain the spell)\n1/Day Each: Ice Storm (level 5 version), Zone of Truth\n\n# Legendary Actions	
