Cantrips (0 Level)	1st Level	2nd Level	3rd Level	4th Level	5th Level	6th Level	7th Level	8th Level	9th Level
Acid Splash	Burning Hands	Alter Self	Blink	Banishment	Animate Objects	Chain Lightning	Delayed Blast Fireball	Dominate Monster	Gate
Chill Touch	Charm Person	Blindness/Deafness	Clairvoyance	Blight	Cloudkill	Circle of Death	Etherealness	Earthquake	Meteor Swarm
Dancing Lights	Color Spray	Blur	Counterspell	Confusion	Cone of Cold	Disintegrate	Finger of Death	Incendiary Cloud	Power Word Kill
Fire Bolt	Comprehend Languages	Darkness	Daylight	Dimension Door	Creation	Eyebite	Fire Storm	Power Word Stun	Time Stop
Light	Detect Magic	Darkvision	Dispel Magic	Dominate Beast	Dominate Person	Globe of Invulnerability	Plane Shift	Sunburst	Wish
Mage Hand	Disguise Self	Detect Thoughts	Fear	Greater Invisibility	Hold Monster	Mass Suggestion	Prismatic Spray		
Mending	Expeditious Retreat	Enhance Ability	Fireball	Ice Storm	Insect Plague	Move Earth	Reverse Gravity		
Message	False Life	Enlarge/Reduce	Fly	Polymorph	Seeming	Sunbeam	Teleport		
Minor Illusion	Feather Fall	Gust of Wind	Gaseous Form	Stoneskin	Telekinesis	True Seeing			
Poison Spray	Fog Cloud	Hold Person	Haste	Wall of Fire	Teleportation Circle				
Prestidigitation	Jump	Invisibility	Hypnotic Pattern		Wall of Stone				
Ray of Frost	Mage Armor	Knock	Lightning Bolt						
Shocking Grasp	Magic Missile	Levitate	Major Image						
True Strike	Shield	Mirror Image	Protection from Energy						
	Silent Image	Misty Step	Sleet Storm						
	Sleep	Scorching Ray	Slow						
	Thunderwave	See Invisibility	Stinking Cloud						
		Shatter	Tongues						
		Spider Climb	Water Breathing						
		Suggestion	Water Walk						
		Web							
