Cantrips (0 Level)	1st Level	2nd Level	3rd Level	4th Level	5th Level	6th Level	7th Level	8th Level	9th Level
Acid Splash	Alarm	Acid Arrow	Animate Dead	Arcane Eye	Animate Objects	Chain Lightning	Arcane Sword	Antimagic Field	Astral Projection
Chill Touch	Burning Hands	Alter Self	Bestow Curse	Banishment	Arcane Hand	Circle of Death	Delayed Blast Fireball	Antipathy/Sympathy	Foresight
Dancing Lights	Charm Person	Arcane Lock	Blink	Black Tentacles	Cloudkill	Contingency	Etherealness	Clone	Gate
Fire Bolt	Color Spray	Arcanists Magic Aura	Clairvoyance	Blight	Cone of Cold	Create Undead	Finger of Death	Control Weather	Imprisonment
Light	Comprehend Languages	Blindness/Deafness	Counterspell	Confusion	Conjure Elemental	Disintegrate	Forcecage	Demiplane	Meteor Swarm
Mage Hand	Detect Magic	Blur	Dispel Magic	Conjure Minor Elementals	Contact Other Plane	Eyebite	Magnificent Mansion	Dominate Monster	Power Word Kill
Mending	Disguise Self	Continual Flame	Fear	Control Water	Creation	Flesh to Stone	Mirage Arcane	Feeblemind	Prismatic Wall
Message	Expeditious Retreat	Darkness	Fireball	Dimension Door	Dominate Person	Freezing Sphere	Plane Shift	Incendiary Cloud	Shapechange
Minor Illusion	False Life	Darkvision	Fly	Fabricate	Dream	Globe of Invulnerability	Prismatic Spray	Maze	Time Stop
Poison Spray	Feather Fall	Detect Thoughts	Gaseous Form	Faithful Hound	Geas	Guards and Wards	Project Image	Mind Blank	True Polymorph
Prestidigitation	Find Familiar	Enlarge/Reduce	Glyph of Warding	Fire Shield	Hold Monster	Instant Summons	Reverse Gravity	Power Word Stun	Weird
Ray of Frost	Floating Disk	Flaming Sphere	Haste	Greater Invisibility	Legend Lore	Irresistible Dance	Sequester	Sunburst	Wish
Shocking Grasp	Fog Cloud	Gentle Repose	Hypnotic Pattern	Hallucinatory Terrain	Mislead	Magic Jar	Simulacrum		
True Strike	Grease	Gust of Wind	Lightning Bolt	Ice Storm	Modify Memory	Mass Suggestion	Symbol		
	Hideous Laughter	Hold Person	Magic Circle	Locate Creature	Passwall	Move Earth	Teleport		
	Identify	Invisibility	Major Image	Phantasmal Killer	Planar Binding	Programmed Illusion			
	Illusory Script	Knock	Nondetection	Polymorph	Scrying	Sunbeam			
	Jump	Levitate	Phantom Steed	Private Sanctum	Seeming	True Seeing			
	Longstrider	Locate Object	Protection from Energy	Resilient Sphere	Telekinesis	Wall of Ice			
	Mage Armor	Magic Mouth	Remove Curse	Secret Chest	Telepathic Bond				
	Magic Missile	Magic Weapon	Sending	Stone Shape	Teleportation Circle				
	Protection from Evil and Good	Mirror Image	Sleet Storm	Stoneskin	Wall of Force				
	Shield	Misty Step	Slow	Wall of Fire	Wall of Stone				
	Silent Image	Ray of Enfeeblement	Stinking Cloud						
	Sleep	Rope Trick	Tiny Hut						
	Thunderwave	Scorching Ray	Tongues						
	Unseen Servant	See Invisibility	Vampiric Touch						
		Shatter	Water Breathing						
		Spider Climb							
		Suggestion							
		Web							
