id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
card_ironclad_between_awareness	Between Awareness	You cannot be ambushed while conscious. At the start of combat, you act before any creature whose EDGE is lower than your RESONANCE. If a hidden attacker targets you, reduce their first attack's damage by your RESONANCE before it lands.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""5"",""startingHand"":""""}"
card_ironclad_between_mastery	Between Mastery	Enter absolute combat clarity for this turn. All attacks you make deal + IRON + RESONANCE damage. Apply Guard equal to your RESONANCE to yourself. Any enemy who targets you this round suffers Stagger.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard|Stagger"",""unlockLevel"":""10"",""startingHand"":""""}"
card_ironclad_between_stance	Between Stance	When you have not moved this turn, the first attack made against you has its damage reduced by your RESONANCE. You may still play cards normally while standing in place.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""0"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_ironclad_blade_of_obligation	Blade of Obligation	Your resonant blade extends its oath to a single target within reach. Deal 22 + IRON damage. Apply Bleed 3 and Expose 2. If the target has any status effect already, this attack deals an additional 8 damage and cannot be mitigated by Guard or Shield.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""22"",""damageStat"":""IRON"",""keywords"":""Bleed 3|Expose 2|Pierce 6"",""unlockLevel"":""18"",""startingHand"":""""}"
card_ironclad_blade_sworn_bond	Blade-Sworn Bond	Your resonant blade is a literal extension of your Echomind. This turn, any attack you make with it deals + IRON + RESONANCE damage instead of only IRON. If your blade is removed from your hand, you may retrieve it as part of this card's activation at no additional cost.	power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Echo"",""unlockLevel"":""8"",""startingHand"":""""}"
card_ironclad_burden_strike	Burden Strike	*Triggered when an enemy attacks an ally within your reach.* You interpose between attacker and ally. Redirect the attack to yourself. Deal 6 + IRON damage to the attacker as a counterstrike.	level_up				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Reaction"",""baseDamage"":""6"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""2"",""startingHand"":""""}"
card_ironclad_code_form	Code Form	Drop into your combat form. Gain Guard 5. Until the start of your next turn, the first enemy who attacks you suffers Stagger — their form breaks against yours.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 5|Stagger"",""unlockLevel"":""1"",""startingHand"":""""}"
card_ironclad_code_sworn_precision	Code-Sworn Precision	Once per turn, when you deal damage, treat your IRON as 1 higher for that calculation. The code demands correct performance — not perfect, but correct.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""7"",""startingHand"":""""}"
card_ironclad_debt_becomes_the_blade	Debt Becomes the Blade	Your accumulated obligation crystallizes into a single devastating strike. Deal 24 + IRON + RESONANCE damage to one target. If this target has been named as an oath-debt enemy (story designation, with GM), this attack is automatically at maximum damage. Apply Expose 3 and Bleed 2.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""24"",""damageStat"":""IRON+RESONANCE"",""keywords"":""Expose 3|Bleed 2"",""unlockLevel"":""13"",""startingHand"":""""}"
card_ironclad_double_vein	Double Vein	Two connected strikes — the first opens the gap, the second crosses it. Deal 10 + IRON damage, then immediately deal 8 + IRON damage to the same target. The second strike ignores Guard stacks remaining after the first.	power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Attack"",""baseDamage"":""10"",""damageStat"":""IRON"",""keywords"":""Pierce 4"",""unlockLevel"":""5"",""startingHand"":""""}"
