id	title	columns	rows
chart_card_action_schema	Card Action Schema	field,description	card_id,title,ap_cost,play_limit_per_turn,is_basic_attack,resolution_type
chart_resolution_types	Resolution Types	key,description	attack,defense,utility,status,mobility
chart_turn_sequence	Turn Sequence	step,script_hook	start_turn,play_card,end_turn
chart_forged_heritage_options	Forged Heritage Options	key,name,asi_bonus,notes	ironhold,wire_market,ashlands,unaligned
chart_forged_augmentation_options	Forged Augmentation Options	key,name,effect_summary,requires_level	reinforced_limb,optical_suite,vox_modulator,subdermal_plating,neural_accelerator,intake_filter,hydraulic_frame
chart_maintenance_states	Maintenance States	key,label,mechanical_effect	serviced,degraded
chart_ironclad_level_progression	Ironclad Level Progression	level,feature_ids,notes	1-20
chart_ironclad_vein_oaths	Vein Oaths	key,name,fracture_violation_example	loyalty,restraint,sacrifice,clarity
chart_ironclad_vein_path_options	Vein Path Options	key,name,theme	oath_iron_lord,oath_sutensai_blade,oath_undying_debt,oath_flesh_temple
chart_ironclad_starting_gear	Ironclad Starting Gear	item_id,quantity,notes	resonant_blade,armor_choice,voidsteel_tanto,oath_mark,maintenance_kit,trade_metal
chart_monster_ap_by_tier	Monster AP by Tier	tier,ap_max_default	minion=1,standard=2,elite=3,boss=4
chart_monster_role_card_weights	Monster Role Card Weights	role,attack_weight,defense_weight,control_weight,sustain_weight	skirmisher,brute,controller,support,boss
chart_monster_turn_priority	Monster Turn Priority	priority,condition,card_type	finish_kill,escape_pressure,apply_control,damage_cycle,setup
chart_monster_card_tags	Monster Card Tags	tag,description	attack,defense,control,mobility,sustain,finisher,reaction
chart_status_catalog	Status Catalog	status_id,name,type,default_duration,max_stacks,stack_rule,summary	guard,fortify,expose,stagger,bleed,burn,overheat,mark,root,silence,veil,taunt,vulnerable,regen,shielded
chart_status_timing	Status Timing Rules	timing_key,description	on_apply,on_turn_start,on_turn_end,on_hit,on_damaged,on_card_play,on_expire
chart_status_dispel_groups	Status Dispel Groups	group_id,members	defensive_buffs,offensive_debuffs,mobility_locks,resource_pressure
chart_races_overview	All Races - Overview	race,primary_stats,hand_size,hp_mod_tier,passive_count,card_count,subtype	Forged,Tethered,Echoed,Wireborn,Stitched,Shellbroken,Iron_Blessed,Diminished
chart_classes_overview	All Classes - Overview	class,primary_stats,hand_size,hp_mod,subclass_count,subclass_names	Ironclad,Ronin,Ashfoot,Veilblade,Oni_Hunter,Forge_Tender,Wireweave,Chrome_Shaper,Pulse_Caller,Iron_Monk,Echo_Speaker,Void_Walker,Sutensai,Flesh_Shaper,Puppet_Binder,Blood_Smith,The_Hollow,Shadow_Daimyo,Voice_of_Debt,Merchant_Knife,Iron_Herald,Curse_Eater,Shell_Dancer,Fracture_Knight,The_Unnamed
chart_ap_cost_reference	AP Cost Reference	ap_cost,tier_name,typical_power,examples	0,free,basic_attack_or_passive,1,standard,core_ability,2,significant,empowered_ability,3,major,signature_or_capstone
chart_keyword_glossary	Keyword Glossary	keyword,type,effect_summary,stacking_rule	Guard,Fortify,Expose,Stagger,Bleed,Burn,Overheat,Mark,Root,Silence,Regen,Shield,Vulnerable,Pierce,Veil,Taunt,Echo,Cascade,Debt,Loaded,Fracture,Phantom
chart_caste_system	Caste System Reference	caste,label,enhancement_access,social_context,example_professions	Resonant,Craftbound,Ironblood,Ashwalker,Voided
chart_faction_matrix	Faction Matrix	faction,leader,territory,primary_goal,conflict_with,notes	Korrath,Vaen,Hollow_Author,Iron_Sutra,Wire_Market,Pilgrimage,Sutensai_Order
chart_claimant_reference	Claimant Reference	claimant,true_nature,public_face,key_relic,campaign_threat	Korrath_the_Unbroken,Vaen_of_the_Empty_Hand,The_Hollow_Author
chart_reach_overview	Broken Reaches Overview	reach,dominant_faction,caste_balance,key_locations,encounter_flavor	Sunder,Veilward,Pale,Iron_Teeth,Ash_River
chart_encounter_sunder_reach	Encounter Table - Sunder Reach	roll,type,description	1-10 encounters from Korrath territory
chart_encounter_veilward_reach	Encounter Table - Veilward Reach	roll,type,description	1-10 encounters from Vaen's homeland
chart_encounter_pale_reach	Encounter Table - Pale Reach	roll,type,description	1-10 encounters from the Wire Market city
chart_encounter_iron_teeth_reach	Encounter Table - Iron Teeth Reach	roll,type,description	1-10 encounters from the industrial Reach
chart_encounter_ash_river_reach	Encounter Table - Ash River Reach	roll,type,description	1-10 encounters from the refugee Reach
chart_npc_reference	NPC Quick Reference	npc_id,name,role,faction,location,secret	forge_sister_kessen,general_soten_vari,governor_maret_suno,guild_master_harren,lord_tessik,mira_pale,runner_seven,chars_voice,cinder_priest,the_collector,drowned_archivist,garden_keeper,the_signal,tidecourt_speaker_veran,veil_master_soren_hai,warden_tessen
