# Ashfoot staging cards — hit-and-fade mobility + salvage flavor
# Columns: id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties

# === L2 Level-Up (2) ===
card_ashfoot_ash_walker	Ash Walker	Years breathing cinder taught your lungs to laugh at it. Ignore difficult terrain from ash, smoke, or rubble; gain a FRAME save against airborne debuffs.	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ashfoot_scavengers_eye	Scavenger's Eye	A glance at a downed foe tells you which plate pops loose first. After any enemy falls, mark one piece of their gear as salvageable on an EDGE check.	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L3 Skirmish Specialist (4) — mobility as a weapon ===
card_ashfoot_skirmish_specialist_kicked_dust	Kicked Dust	Boot-heel grinds a plume of ashlands grit into an enemy's faceplate. EDGE strike; the target loses sightlines until their next turn.	subclass_skirmish_specialist	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ashfoot_skirmish_specialist_ghost_trail	Ghost Trail	Move full speed without leaving tracks or triggering overwatch. Enemies that prepared an attack against you lose it.	subclass_skirmish_specialist	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ashfoot_skirmish_specialist_hook_and_run	Hook and Run	Snag an enemy's belt, armor lip, or weapon strap as you pass. Shift them one step as you continue your move; they spend AP to chase or let it go.	subclass_skirmish_specialist	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ashfoot_skirmish_specialist_wind_between_blades	Wind Between Blades	Thread the gap two enemies leave between them. Move through a contested space without provoking reactions and make a free Basic Attack against one on exit.	subclass_skirmish_specialist	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L3 Formation Anchor (4) — holds ground when others break ===
