# Echo Speaker — staging rows for merge
# Columns: id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
#
# === L1 Core fills (2) — mobility + passive gaps ===
card_echo_speaker_step_between	Step Between	Slip sideways through the Veil. Move a short distance as if the terrain between living and dead were the same map; ignore intervening obstacles this step.	mobility_card	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_echo_speaker_always_listening	Always Listening	The iron-dead never stop whispering to you. Passive: at the start of each encounter, gain one grief stack; enemies that enter stealth near you are heard anyway.	passive	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L2 Level-Up (2) ===
card_echo_speaker_second_tongue	Second Tongue	The dead taught you their syntax. Your next RESONANCE or VEIL check this turn can be made in either stat; use whichever is higher.	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_echo_speaker_grief_fluent	Grief-Fluent	You have learned to carry more of the afterlife at once. Your grief-stack ceiling is raised, and when you would gain a stack you instead gain two.	level_up	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L3 Sutensai Aligned (4) — void-channel, erasure, empty-vowel speech ===
card_echo_speaker_sutensai_aligned_void_vowel	Void Vowel	Speak a sound that is not a sound. One enemy's next action is partially unwritten; they lose either their movement or their attack this turn, their choice.	subclass_sutensai_aligned	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_echo_speaker_sutensai_aligned_unname	Unname	You take the target's name from the air for a heartbeat. Until end of their next turn, no ally of the target may buff or heal them — they do not exist to their own side.	subclass_sutensai_aligned	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
