# Ironclad Samurai — gap-fill staging TSV
# Columns: id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
# Tiers: L2 level-up (x2), L3 subclass (x4 per oath), L5 power (x3), L9 subclass power (x2 per oath)

# === L2 LEVEL-UP (2) ===
card_ironclad_oath_deepened	Oath Deepened	Spend a breath on the vein-mark carved into your palm; the next discipline card you play this turn costs 1 less AP (minimum 0).	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_tempered_breath	Tempered Breath	Draw a slow, measured breath through clenched teeth; gain temporary HP equal to your RESONANCE and your next melee hit this turn adds your RESONANCE modifier to the damage.	level_up	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L3 — OATH IRON LORD (4) ===
card_ironclad_oath_iron_lord_banner_cut	Banner Cut	Plant your blade in the earth and name your ward. Make a melee attack; on hit, you and your ward gain a bonus to AC until the start of your next turn.	subclass_oath_iron_lord	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_iron_lord_house_command	House Command	Speak a clipped, formal order in the voice of the House. One ally within sight may immediately use their reaction to move up to their speed or make one weapon attack.	subclass_oath_iron_lord	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_iron_lord_forged_dominion	Forged Dominion	Claim a 10-foot square around you as the Lord's ground; enemies that enter or start their turn there have disadvantage on attacks not targeting you until the start of your next turn.	subclass_oath_iron_lord	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_iron_lord_sealed_retinue	Sealed Retinue	Press your oath-seal against an ally's armor. Until the start of your next turn, any damage that ally takes from an attack is reduced by your IRON modifier, and you take half of the reduced amount.	subclass_oath_iron_lord	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L3 — OATH SUTENSAI BLADE (4) ===
card_ironclad_oath_sutensai_blade_void_cut	Void Cut	Draw your blade through the space between thoughts. Make a melee attack; on hit, the target loses one beneficial condition or concentration effect of your choice.	subclass_oath_sutensai_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_sutensai_blade_memory_sever	Memory Sever	Your next attack this turn cuts something deeper than flesh; on hit, the target cannot use any card or reaction it used on its previous turn until the end of its next turn.	subclass_oath_sutensai_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_sutensai_blade_between_step	Between-Step	Step sideways through the void between moments. Teleport up to 20 feet to a space you can see; the first attack you make before the end of your turn is made with advantage.	subclass_oath_sutensai_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_sutensai_blade_silent_edict	Silent Edict	Draw the void-edge along your oath-mark and speak a single syllable no one hears. One creature within 30 feet is Silenced and cannot use spoken or resonance-channeled abilities until the start of your next turn.	subclass_oath_sutensai_blade	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L3 — OATH UNDYING DEBT (4) ===
card_ironclad_oath_undying_debt_ledger_mark	Ledger Mark	Carve a tally into the haft of your blade with your thumb. Mark one enemy as a debt; while marked, your attacks against it deal bonus RESONANCE damage and you know its direction while it lives.	subclass_oath_undying_debt	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_undying_debt_collector_strike	Collector's Strike	Make a melee attack against a debt-marked creature; on hit, deal bonus damage equal to the number of debts you currently hold, and transfer one of your debts to this creature if it was unmarked.	subclass_oath_undying_debt	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_undying_debt_weight_of_the_owed	Weight of the Owed	Take the burden of an unfinished obligation onto your shoulders. Until the start of your next turn, you cannot be knocked prone, moved, or reduced below 1 HP by any source except a debt-marked creature.	subclass_oath_undying_debt	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_undying_debt_promise_kept	Promise Kept	Reaction: when a debt-marked creature within 30 feet is reduced to 0 HP by anyone, regain HP equal to your IRON modifier plus your level and remove the debt; you may immediately mark another enemy you can see.	subclass_oath_undying_debt	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L3 — OATH FLESH TEMPLE (4) ===
card_ironclad_oath_flesh_temple_scar_sutra	Scar Sutra	Run a thumb along the prayer-scars down your forearm; until the start of your next turn, damage dealt to you is reduced by your RESONANCE modifier and your melee attacks deal that same amount as bonus damage.	subclass_oath_flesh_temple	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_flesh_temple_offering_wound	Offering Wound	Spend HP equal to twice your level as a deliberate cut; your next melee attack this turn automatically hits and cannot be reduced by resistance, only by immunity.	subclass_oath_flesh_temple	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_flesh_temple_pillar_stance	Pillar Stance	Set your feet and become the pillar of the temple. Until you move, enemies within 5 feet have disadvantage on attack rolls against allies, and the first attack each turn against you triggers a free melee attack in return.	subclass_oath_flesh_temple	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_oath_flesh_temple_consecrated_flesh	Consecrated Flesh	Press your palm to a fresh wound and bless it. End one disease, poison, or curse on yourself, and the next source of the same type that strikes you before your next long rest is automatically nullified.	subclass_oath_flesh_temple	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# === L5 POWER (3) ===
card_ironclad_katana_of_the_vein	Katana of the Vein	For one minute, your bonded blade hums with your Vein Oath. You add your RESONANCE modifier to all melee attack and damage rolls, and once per round a hit forces a WIS save or target is stunned until the start of your next turn.	power_card	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_ironfield_meditation	Ironfield Meditation	Drop into kneeling guard; a 15-foot aura of stillness surrounds you for one minute. Allies within gain your IRON modifier to AC and saves, and you cannot move but gain +10 to attack and damage when struck in melee.	power_card	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
