# Ronin — staging rows for merge
# Columns: id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
#
# === L2 Level-Up (2) ===
card_ronin_sharpened_exile	Sharpened Exile	Years alone hone the edge. Your next EDGE check this turn is made with a steadier hand and a colder eye.	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_oathless_read	Oathless Read	No lord's protocols cloud your sight. Study one enemy; you learn a weakness the balance agent will tune, and your next strike against them bites deeper.	level_up	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L3 Ascendant Blade (4) — precision, refusal, reforged discipline ===
card_ronin_ascendant_blade_refusal_stance	Refusal Stance	Take the stance no master taught. Until your next turn, the first attack against you is simply declined — blade-turned, footwork perfect, refused.	subclass_ascendant_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_ascendant_blade_honed_cut	Honed Cut	A strike refined by ten thousand solitary repetitions. Precision-weighted EDGE attack; treats armor as thinner than it is.	subclass_ascendant_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_ascendant_blade_clean_form	Clean Form	Breathe. Reset. The stance collects itself. Discard any one card from hand; draw one. If the discarded card was a combat_card, your next attack this turn gains advantage.	subclass_ascendant_blade	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_ascendant_blade_solitary_perfection	Solitary Perfection	For one moment there is no court, no lord, no school — only the cut. EDGE attack that cannot miss a target you are alone with (no allies adjacent).	subclass_ascendant_blade	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L3 Iron Contract (4) — hired steel, marks, contract ethics ===
card_ronin_iron_contract_name_the_price	Name the Price	Point at one enemy and speak the word. That target becomes your Mark until end of encounter; your attacks against Marks hit harder, and you refuse attacks against anyone else unless paid in kind.	subclass_iron_contract	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_iron_contract_blood_invoice	Blood Invoice	The contract is specific. Spend 1 AP to deal an IRON-weighted strike to your Mark; if it hits, you recover AP spent on this card next turn.	subclass_iron_contract	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_iron_contract_paid_in_full	Paid in Full	When a Mark dies, the contract pays out. Draw two cards and regain 1 AP; the ledger is closed.	subclass_iron_contract	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_iron_contract_no_collateral	No Collateral	The contract forbids waste. When an enemy attacks an ally, make an EDGE reaction against that enemy; if you hit, the attack is redirected to you and a debt-token is placed on the attacker.	subclass_iron_contract	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L3 Returning Blade (4) — wanderer's blade that comes back, debts that follow ===
card_ronin_returning_blade_thrown_edge	Thrown Edge	Hurl the blade at range — it strikes, then returns to your hand next turn. If it kills the target, it returns this turn instead.	subclass_returning_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_returning_blade_long_debt	Long Debt	Mark an enemy with a debt they did not agree to. At the start of each of your turns while they live, deal minor IRON damage; the debt follows them even if they flee the scene.	subclass_returning_blade	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_returning_blade_wanderers_angle	Wanderer's Angle	You have walked this road before. Move and then make an EDGE strike; if your movement ended behind or flanking the target, the strike returns the card to your hand at end of turn.	subclass_returning_blade	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_returning_blade_old_road	Old Road	A discarded card is never truly gone. Shuffle one Ronin card from your discard back into your deck; if you have no discard, draw a card instead.	subclass_returning_blade	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L5 Power (3) ===
card_ronin_seventh_scar	The Seventh Scar	Every scar is a lesson paid in blood. Count your missing health; convert a portion of it into a single devastating EDGE+IRON strike against one enemy. The more wounded you are, the worse the cut.	power_card	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_refusing_the_field	Refusing the Field	You decline the battle's terms. Until start of your next turn, you cannot be targeted by any enemy whose name you do not know; your first strike after this ends becomes a critical.	power_card	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_corrupted_cadence	Corrupted Cadence	Your broken resonance signature becomes the battle's rhythm. Make three EDGE strikes against up to three different enemies; each hit inflicts a dim flicker on their next action.	power_card	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L9 Ascendant Blade (2) ===
card_ronin_ascendant_blade_one_true_cut	One True Cut	The cut that every empty-handed kata was preparing you for. Declare one enemy; make a single EDGE attack that bypasses armor and resonance-shielding. If the target survives, they cannot attack you until your next turn — they cannot explain what just happened.	subclass_power_ascendant_blade	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_ascendant_blade_form_without_master	Form Without Master	Adopt the stance that has no lineage. For the rest of the encounter, each time you decline an attack (via Refusal Stance or reaction), you may immediately make a free Honed Cut against the attacker.	subclass_power_ascendant_blade	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L9 Iron Contract (2) ===
card_ronin_iron_contract_signed_in_blood	Signed in Blood	You draft the terms mid-combat. Choose any two enemies as Marks simultaneously; while both live, your strikes against them cost 1 less AP (minimum 1). When either dies, draw two cards.	subclass_power_iron_contract	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_iron_contract_ledger_closed	Ledger Closed	The contract ends the way contracts always end — with someone collecting. Make an IRON-weighted attack against your Mark with advantage; if it kills them, every debt-token in play detonates, damaging their bearers.	subclass_power_iron_contract	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
#
# === L9 Returning Blade (2) ===
card_ronin_returning_blade_blade_comes_home	The Blade Comes Home	You let the sword leave your hand, and the world brings it back. Make a ranged EDGE attack against every enemy in a line; the card returns to your hand at end of turn regardless of outcome.	subclass_power_returning_blade	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_returning_blade_debts_all_come_due	Debts All Come Due	Every long debt, every old road, every wound you left unanswered arrives in the same moment. All enemies you have marked, debted, or wounded this encounter take immediate IRON damage; shuffle your discard back into your deck.	subclass_power_returning_blade	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
